srcStateName,srcYear,Coal Type,Qualtity of coal produced,YearCode,Year
Jharkhand,2018-19,Non-Coking Coal,95.025,2018,"Financial Year (Apr - Mar), 2018"
Madhya Pradesh,2018-19,Non-Coking Coal,118.473,2018,"Financial Year (Apr - Mar), 2018"
Maharashtra,2018-19,Non-Coking Coal,49.818,2018,"Financial Year (Apr - Mar), 2018"
Meghalaya,2018-19,Non-Coking Coal,0,2018,"Financial Year (Apr - Mar), 2018"
Odisha,2018-19,Non-Coking Coal,144.312,2018,"Financial Year (Apr - Mar), 2018"
Telangana,2018-19,Non-Coking Coal,65.16,2018,"Financial Year (Apr - Mar), 2018"
Uttar Pradesh,2018-19,Non-Coking Coal,20.275,2018,"Financial Year (Apr - Mar), 2018"
West Bengal,2018-19,Non-Coking Coal,32.08,2018,"Financial Year (Apr - Mar), 2018"
Gujarat,2018-19,Lignite,12.566,2018,"Financial Year (Apr - Mar), 2018"
Rajasthan,2018-19,Lignite,8.676,2018,"Financial Year (Apr - Mar), 2018"
Tamilnadu,2018-19,Lignite,23.041,2018,"Financial Year (Apr - Mar), 2018"
Chhattisgarh,2019-20,Coking Coal,0.25,2019,"Financial Year (Apr - Mar), 2019"
Jharkhand,2019-20,Coking Coal,52.364,2019,"Financial Year (Apr - Mar), 2019"
Madhya Pradesh,2019-20,Coking Coal,0.178,2019,"Financial Year (Apr - Mar), 2019"
West Bengal,2019-20,Coking Coal,0.144,2019,"Financial Year (Apr - Mar), 2019"
Arunachal Pradesh,2019-20,Non-Coking Coal,0,2019,"Financial Year (Apr - Mar), 2019"
Assam,2019-20,Non-Coking Coal,0.517,2019,"Financial Year (Apr - Mar), 2019"
Chhattisgarh,2019-20,Non-Coking Coal,157.495,2019,"Financial Year (Apr - Mar), 2019"
Jammu & Kashmir,2019-20,Non-Coking Coal,0.014,2019,"Financial Year (Apr - Mar), 2019"
Jharkhand,2019-20,Non-Coking Coal,79.399,2019,"Financial Year (Apr - Mar), 2019"
Madhya Pradesh,2019-20,Non-Coking Coal,125.548,2019,"Financial Year (Apr - Mar), 2019"
Maharashtra,2019-20,Non-Coking Coal,54.746,2019,"Financial Year (Apr - Mar), 2019"
Meghalaya,2019-20,Non-Coking Coal,0,2019,"Financial Year (Apr - Mar), 2019"
Odisha,2019-20,Non-Coking Coal,143.016,2019,"Financial Year (Apr - Mar), 2019"
Telangana,2019-20,Non-Coking Coal,65.703,2019,"Financial Year (Apr - Mar), 2019"
Uttar Pradesh,2019-20,Non-Coking Coal,18.03,2019,"Financial Year (Apr - Mar), 2019"
West Bengal,2019-20,Non-Coking Coal,33.47,2019,"Financial Year (Apr - Mar), 2019"
Gujarat,2019-20,Lignite,10.357,2019,"Financial Year (Apr - Mar), 2019"
Rajasthan,2019-20,Lignite,8.223,2019,"Financial Year (Apr - Mar), 2019"
Tamilnadu,2019-20,Lignite,23.516,2019,"Financial Year (Apr - Mar), 2019"
Chhattisgarh,2020-21,Coking,0.219,2020,"Financial Year (Apr - Mar), 2020"
Jharkhand,2020-21,Coking,44.387,2020,"Financial Year (Apr - Mar), 2020"
Madhya Pradesh,2020-21,Coking,0.181,2020,"Financial Year (Apr - Mar), 2020"
West Bengal,2020-21,Coking,0,2020,"Financial Year (Apr - Mar), 2020"
Assam,2020-21,Non-Coking,0.036,2020,"Financial Year (Apr - Mar), 2020"
Chhattisgarh,2020-21,Non-Coking,158.191,2020,"Financial Year (Apr - Mar), 2020"
Jammu and Kashmir,2020-21,Non-Coking,0.01,2020,"Financial Year (Apr - Mar), 2020"
Jharkhand,2020-21,Non-Coking,79.041,2020,"Financial Year (Apr - Mar), 2020"
Madhya Pradesh,2020-21,Non-Coking,132.35,2020,"Financial Year (Apr - Mar), 2020"
Maharashtra,2020-21,Non-Coking,47.435,2020,"Financial Year (Apr - Mar), 2020"
Meghalaya,2020-21,Non-Coking,0,2020,"Financial Year (Apr - Mar), 2020"
Odisha,2020-21,Non-Coking,154.151,2020,"Financial Year (Apr - Mar), 2020"
Telangana,2020-21,Non-Coking,52.603,2020,"Financial Year (Apr - Mar), 2020"
Uttar Pradesh,2020-21,Non-Coking,17.016,2020,"Financial Year (Apr - Mar), 2020"
West Bengal,2020-21,Non-Coking,30.463,2020,"Financial Year (Apr - Mar), 2020"
Gujarat,2020-21,Lignite,10.813,2020,"Financial Year (Apr - Mar), 2020"
Rajasthan,2020-21,Lignite,9.056,2020,"Financial Year (Apr - Mar), 2020"
Tamilnadu,2020-21,Lignite,18.026,2020,"Financial Year (Apr - Mar), 2020"
