srcStateName,srcYear,Coal Type,Coal produced from proved resources,Coal produced from Indicated resources,Coal produced from Inferred resources,YearCode,Year
Meghalaya,2020,Coal,89,17,471,2020,"Financial Year (Apr - Mar), 2020"
Sikkim,2020,Coal,0,58,43,2020,"Financial Year (Apr - Mar), 2020"
Odisha,2020,Coal,40872,36067,7713,2020,"Financial Year (Apr - Mar), 2020"
Tertiary,2020,Coal,594,121,908,2020,"Financial Year (Apr - Mar), 2020"
Nagaland,2021,Coal,9,22,416,2021,"Financial Year (Apr - Mar), 2021"
Meghalaya,2021,Coal,89,17,471,2021,"Financial Year (Apr - Mar), 2021"
Andhra Pradesh,2021,Coal,921,901,425,2021,"Financial Year (Apr - Mar), 2021"
Gujarat,2021,Lignite,1278.65,283.7,1159.7,2021,"Financial Year (Apr - Mar), 2021"
Jharkhand,2021,Coal,52046,28882,5288,2021,"Financial Year (Apr - Mar), 2021"
Bihar,2021,Coal,310,3143,11,2021,"Financial Year (Apr - Mar), 2021"
Jammu and Kashmir,2021,Lignite,0,20.25,7.3,2021,"Financial Year (Apr - Mar), 2021"
Madhya Pradesh,2021,Coal,13479,13060,3678,2021,"Financial Year (Apr - Mar), 2021"
Chhattisgarh,2021,Coal,31562,40425,1437,2021,"Financial Year (Apr - Mar), 2021"
Kerala,2021,Lignite,0,0,9.65,2021,"Financial Year (Apr - Mar), 2021"
Maharashtra,2021,Coal,7770,3320,1847,2021,"Financial Year (Apr - Mar), 2021"
Odisha,2021,Coal,43326,35222,6330,2021,"Financial Year (Apr - Mar), 2021"
Puducherry,2021,Lignite,0,405.61,11,2021,"Financial Year (Apr - Mar), 2021"
Sikkim,2021,Coal,0,58,43,2021,"Financial Year (Apr - Mar), 2021"
Uttar Pradesh,2021,Coal,884,178,0,2021,"Financial Year (Apr - Mar), 2021"
Rajasthan,2021,Lignite,1168.53,3029.78,2150.77,2021,"Financial Year (Apr - Mar), 2021"
Telangana,2021,Coal,11089,8328,3433,2021,"Financial Year (Apr - Mar), 2021"
Arunachal Pradesh,2021,Coal,31,40,19,2021,"Financial Year (Apr - Mar), 2021"
Tamilnadu,2021,Lignite,4926.92,21910.06,9652.62,2021,"Financial Year (Apr - Mar), 2021"
West Bengal,2021,Coal,15199,13296,4597,2021,"Financial Year (Apr - Mar), 2021"
Assam,2021,Coal,465,57,3,2021,"Financial Year (Apr - Mar), 2021"
West Bengal,2021,Lignite,0,1.13,2.8,2021,"Financial Year (Apr - Mar), 2021"
