ROWID,Country,State lgd code,State,Yearcode,Year,Coal type,Coal produced from proved resources,Coal produced from indicated resources,Coal produced from inferred resources
64,India,24,Gujarat,2021,"Financial Year (Apr - Mar), 2021",Lignite,1278.65,283.7,1159.7
65,India,27,Maharashtra,2018,"Financial Year (Apr - Mar), 2018",Coal,7178,3074,2048
66,India,27,Maharashtra,2019,"Financial Year (Apr - Mar), 2019",Coal,7573,3257,1847
67,India,27,Maharashtra,2020,"Financial Year (Apr - Mar), 2020",Coal,7624,3257,1847
68,India,27,Maharashtra,2021,"Financial Year (Apr - Mar), 2021",Coal,7770,3320,1847
69,India,28,Andhra Pradesh,2018,"Financial Year (Apr - Mar), 2018",Coal,0,1149,432
70,India,28,Andhra Pradesh,2019,"Financial Year (Apr - Mar), 2019",Coal,97,1078,432
71,India,28,Andhra Pradesh,2020,"Financial Year (Apr - Mar), 2020",Coal,97,1078,432
72,India,28,Andhra Pradesh,2021,"Financial Year (Apr - Mar), 2021",Coal,921,901,425
73,India,32,Kerala,2018,"Financial Year (Apr - Mar), 2018",Lignite,0,0,9.65
74,India,32,Kerala,2019,"Financial Year (Apr - Mar), 2019",Lignite,0,0,9.65
75,India,32,Kerala,2020,"Financial Year (Apr - Mar), 2020",Lignite,0,0,9.65
76,India,32,Kerala,2021,"Financial Year (Apr - Mar), 2021",Lignite,0,0,9.65
77,India,33,Tamil Nadu,2018,"Financial Year (Apr - Mar), 2018",Lignite,4093.53,22648.33,9392.85
78,India,33,Tamil Nadu,2019,"Financial Year (Apr - Mar), 2019",Lignite,4340.35,22496.63,9392.85
79,India,33,Tamil Nadu,2020,"Financial Year (Apr - Mar), 2020",Lignite,4340.35,22496.63,9652.62
80,India,33,Tamil Nadu,2021,"Financial Year (Apr - Mar), 2021",Lignite,4926.92,21910.06,9652.62
81,India,34,Puducherry,2018,"Financial Year (Apr - Mar), 2018",Lignite,0,405.61,11
82,India,34,Puducherry,2019,"Financial Year (Apr - Mar), 2019",Lignite,0,405.61,11
83,India,34,Puducherry,2020,"Financial Year (Apr - Mar), 2020",Lignite,0,405.61,11
84,India,34,Puducherry,2021,"Financial Year (Apr - Mar), 2021",Lignite,0,405.61,11
85,India,36,Telangana,2018,"Financial Year (Apr - Mar), 2018",Coal,10475,8576,2651
86,India,36,Telangana,2019,"Financial Year (Apr - Mar), 2019",Coal,10622,8565,2652
87,India,36,Telangana,2020,"Financial Year (Apr - Mar), 2020",Coal,10841,8521,2863
88,India,36,Telangana,2021,"Financial Year (Apr - Mar), 2021",Coal,11089,8328,3433
89,India,37,Ladakh,2018,"Financial Year (Apr - Mar), 2018",Lignite,0.0000000000000000,0.492907340462306625,0.17769005359875745
90,India,37,Ladakh,2019,"Financial Year (Apr - Mar), 2019",Lignite,0.0000000000000000,0.492907340462306625,0.17769005359875745
91,India,37,Ladakh,2020,"Financial Year (Apr - Mar), 2020",Lignite,0.0000000000000000,0.492907340462306625,0.17769005359875745
92,India,37,Ladakh,2021,"Financial Year (Apr - Mar), 2021",Lignite,0.0000000000000000,0.492907340462306625,0.17769005359875745
